display_name,age,gender,residence,pace,official_time,overall,gender_result,division_result,seconds,first_name,last_name,pace_seconds,age_group
Robert Kiprono Cheruiyot,21,M,Bomet,00:04:48,2:05:52,1,1,1,7552,Robert Kiprono,Cheruiyot,290.46153846153845,18-39
Tekeste Kebede,28,M,City,00:04:51,2:07:23,2,2,1,7643,Tekeste,Kebede,293.96153846153845,18-39
Deriba Merga,29,M,Addis Ababa,00:04:54,2:08:39,3,3,2,7719,Deriba,Merga,296.88461538461536,18-39
Ryan Hall,27,M,Chico,00:04:54,2:08:41,4,4,3,7721,Ryan,Hall,296.96153846153845,18-39
Mebrahtom Keflezighi,34,M,Mammoth Lakes,00:04:56,2:09:26,5,5,1,7766,Mebrahtom,Keflezighi,298.6923076923077,18-39
Gashaw Asfaw,31,M,Wollo,00:04:59,2:10:53,6,6,2,7853,Gashaw,Asfaw,302.03846153846155,18-39
John Komen,32,M,Marakwet,00:05:01,2:11:48,7,7,3,7908,John,Komen,304.15384615384613,18-39
Moses Kigen Kipkosgei,27,M,Eldoret,00:05:02,2:12:04,8,8,4,7924,Moses Kigen,Kipkosgei,304.7692307692308,18-39
Jason Lehmkuhle,32,M,Minneapolis,00:05:02,2:12:24,9,9,4,7944,Jason,Lehmkuhle,305.53846153846155,18-39
Alejandro Suarez,29,M,Queretaro,00:05:03,2:12:33,10,10,5,7953,Alejandro,Suarez,305.88461538461536,18-39
Cutbert Nyasango,27,M,Harare,00:05:03,2:12:40,11,11,6,7960,Cutbert,Nyasango,306.15384615384613,18-39
ANTONIO VEGA,26,M,ST.PAUL,00:05:06,2:13:47,12,12,7,8027,ANTONIO,VEGA,308.7307692307692,18-39
Elijah Keitany,27,M,Kapsait,00:05:08,2:14:48,13,13,8,8088,Elijah,Keitany,311.0769230769231,18-39
Stephen Kiogora,35,M,Meru,00:05:08,2:14:50,14,14,1,8090,Stephen,Kiogora,311.15384615384613,18-39
Chala Dechase,25,M,Addis Ababa,00:05:08,2:14:57,15,15,9,8097,Chala,Dechase,311.4230769230769,18-39
Drew A. Polley,24,M,Rochester Hills,00:05:12,2:16:36,16,16,2,8196,Drew A.,Polley,315.2307692307692,18-39
Dmytro Baranovskyy,30,M,Kiev,00:05:14,2:17:15,17,17,5,8235,Dmytro,Baranovskyy,316.7307692307692,18-39
James Koskei,41,M,Eldoret,00:05:14,2:17:28,18,18,1,8248,James,Koskei,317.2307692307692,40-44
Chad N. Johnson,33,M,Lake Orion,00:05:15,2:17:41,19,19,6,8261,Chad N.,Johnson,317.7307692307692,18-39
Jason C. Delaney,30,M,Golden,00:05:18,2:19:17,20,20,7,8357,Jason C.,Delaney,321.4230769230769,18-39
