YEAR,TEAM NO,TEAM,RANK,R64,R32,S16,E8,F4,FINALS
2024,1079,Akron,56,7.77%,2.03%,0.58%,0.22%,0.10%,0.05%
2024,1078,Alabama,16,85.44%,51.83%,13%,5.20%,1.51%,0.62%
2024,1077,Arizona,6,93.70%,80.76%,55.45%,28.03%,9.74%,4.58%
2024,1076,Auburn,15,89.25%,60.85%,12.09%,6.98%,3.39%,1.58%
2024,1075,Baylor,9,90.34%,63.08%,26.49%,10.42%,3.14%,0.97%
2024,1074,Boise St.,38,21.60%,3.40%,0.86%,0.28%,0.12%,0.05%
2024,1073,BYU,17,74.71%,24.07%,9.82%,1.74%,0.39%,0.17%
2024,1072,Clemson,22,54.40%,18.61%,7.71%,1.52%,0.52%,0.21%
2024,1071,Colgate,58,6.79%,2.33%,0.84%,0.43%,0.10%,0.04%
2024,1070,College of Charleston,54,11.57%,3.11%,0.56%,0.22%,0.10%,0.05%
2024,1069,Colorado,39,21.60%,3.40%,0.86%,0.28%,0.12%,0.05%
2024,1068,Colorado St.,44,16.09%,2.37%,0.69%,0.24%,0.10%,0.05%
2024,1067,Connecticut,1,98.09%,92.48%,79.11%,63.86%,47.39%,32.16%
2024,1066,Creighton,10,89.06%,62.11%,28.43%,12.13%,4.36%,1.40%
2024,1065,Dayton,28,47.14%,8.93%,2.25%,0.58%,0.19%,0.08%
2024,1064,Drake,40,49.43%,8.01%,2.28%,0.45%,0.20%,0.09%
2024,1063,Duke,13,88.95%,55.59%,19.60%,8.77%,4.28%,1.76%
2024,1062,Duquesne,46,23.24%,3.82%,0.95%,0.24%,0.09%,0.05%
2024,1061,Florida,25,74.74%,22.85%,6.55%,1.81%,0.73%,0.32%
2024,1060,Florida Atlantic,31,54.65%,2.81%,1.25%,0.56%,0.22%,0.10%
2024,1059,Gonzaga,21,77.16%,39.78%,13.80%,6.86%,3.02%,1.32%
2024,1058,Grambling St.,66,1.99%,0.76%,0.37%,0.20%,0.10%,0.05%
2024,1057,Grand Canyon,47,25.42%,8.62%,1.21%,0.43%,0.14%,0.06%
2024,1056,Houston,2,95.70%,83.69%,63.34%,43.34%,28.87%,11.98%
2024,1055,Howard,67,1.65%,0.75%,0.38%,0.21%,0.10%,0.04%
2024,1054,Illinois,12,90.81%,67.69%,34.69%,8.58%,4.19%,1.86%
2024,1053,Iowa St.,8,94.61%,77.79%,47.25%,13.11%,7.03%,3.32%
2024,1052,James Madison,48,31.93%,11.67%,2%,0.74%,0.33%,0.17%
2024,1051,Kansas,14,82.63%,44.79%,18.08%,9.81%,4.71%,2.22%
