YEAR,TEAM NO,TEAM,SEED,ROUND,POWER,PATH,DRAW,WINS,POOL VALUE,POOL S-RANK,NCAA S-RANK,VAL Z-SCORE,POWER-PATH
2024,1067,Connecticut,1,0,91.3,64.5,,0,92.6,1,1,,26.8
2024,1026,Stetson,16,0,47.1,91,,0,0.5,64,62,,-43.9
2024,1060,Florida Atlantic,8,0,69.3,73.2,,0,9,28,31,,-3.9
2024,1036,Northwestern,9,0,62.9,75.5,,0,4.2,45,36,,-12.6
2024,1029,San Diego St.,5,0,71.5,68.2,,0,14.7,22,18,,3.3
2024,1020,UAB,12,0,55.7,74.2,,0,3,49,48,,-18.5
2024,1076,Auburn,4,0,81.8,67,,0,49.6,9,15,,14.8
2024,1012,Yale,13,0,57.6,79.1,,0,2.4,52,50,,-21.5
2024,1073,BYU,6,0,73,66.5,,0,22.4,19,17,,6.5
2024,1062,Duquesne,11,0,57.1,74.9,,0,3.2,47,44,,-17.8
2024,1054,Illinois,3,0,80.7,65.6,,0,49.6,10,12,,15.1
2024,1042,Morehead St.,14,0,56.7,79.3,,0,2.4,51,55,,-22.6
2024,1015,Washington St.,7,0,66.4,68.8,,0,12,24,26,,-2.4
2024,1064,Drake,10,0,61.3,70.2,,0,6,41,39,,-8.9
2024,1053,Iowa St.,2,0,78.7,65.4,,0,36.8,14,8,,13.3
2024,1027,South Dakota St.,15,0,52.4,77.6,,0,2.2,53,59,,-25.2
2024,1038,North Carolina,1,0,77.9,65.6,,0,27,17,4,,12.3
2024,1055,Howard,16,0,45,77.8,,0,1.1,59,64,,-32.8
2024,1044,Mississippi St.,8,0,67.7,75.5,,0,8.2,30,32,,-7.8
2024,1045,Michigan St.,9,0,74.5,70.9,,0,23.1,18,33,,3.6
2024,1032,Saint Mary's,5,0,73.8,69.5,,0,22.1,20,20,,4.3
2024,1057,Grand Canyon,12,0,64,73.9,,0,6.4,38,45,,-9.9
2024,1078,Alabama,4,0,77.3,66.4,,0,39,13,16,,10.9
2024,1070,College of Charleston,13,0,57.1,76,,0,3.1,48,52,,-18.9
2024,1072,Clemson,6,0,66.8,72.6,,0,8,32,22,,-5.8
2024,1039,New Mexico,11,0,68.3,71.2,,0,10.9,26,41,,-2.9
2024,1075,Baylor,3,0,80.6,65.5,,0,51.5,8,9,,15.1
2024,1071,Colgate,14,0,53.1,79.3,,0,1.8,56,56,,-26.2
2024,1065,Dayton,7,0,66.7,73.5,,0,7.7,33,28,,-6.8
2024,1040,Nevada,10,0,66.9,72,,0,8.5,29,37,,-5.1
2024,1077,Arizona,2,0,86.2,64.6,,0,91.8,2,6,,21.6
2024,1049,Long Beach St.,15,0,51.3,84.7,,0,1,60,57,,-33.4
2024,1056,Houston,1,0,87.1,65.9,,0,71,6,2,,21.2
2024,1048,Longwood,16,0,52.3,86.9,,0,1,61,61,,-34.6
2024,1041,Nebraska,8,0,66.9,74.8,,0,7,36,29,,-7.9
2024,1022,Texas A&M,9,0,68.2,72.8,,0,8.2,31,34,,-4.6
2024,1013,Wisconsin,5,0,68.9,71.7,,0,9.1,27,19,,-2.8
2024,1052,James Madison,12,0,63.2,72.6,,0,5.7,43,46,,-9.4
2024,1063,Duke,4,0,84.8,65.7,,0,77.5,4,13,,19.1
2024,1018,Vermont,13,0,55.5,81.5,,0,1.7,57,49,,-26
2024,1021,Texas Tech,6,0,66,67.3,,0,11.4,25,23,,-1.3
2024,1037,North Carolina St.,11,0,60.2,70,,0,5.1,44,43,,-9.8
2024,1050,Kentucky,3,0,79.9,63.5,,0,48.9,12,11,,16.4
2024,1035,Oakland,14,0,52.3,78.3,,0,1.9,55,53,,-26
2024,1061,Florida,7,0,67.2,71.5,,0,6.5,37,25,,-4.3
2024,1069,Colorado,10,0,71.1,68.8,,0,16.9,21,38,,2.3
2024,1047,Marquette,2,0,81,66.1,,0,49.5,11,7,,14.9
2024,1014,Western Kentucky,15,0,52.5,80,,0,1.6,58,58,,-27.5
2024,1033,Purdue,1,0,87,65.3,,0,79,3,3,,21.7
2024,1043,Montana St.,16,0,46.7,86.7,,0,0.6,63,63,,-40
2024,1019,Utah St.,8,0,64.6,74.2,,0,6.1,40,30,,-9.6
2024,1025,TCU,9,0,66.7,71.4,,0,7.6,34,35,,-4.7
2024,1059,Gonzaga,5,0,79.7,70.5,,0,33.2,15,21,,9.2
2024,1046,McNeese St.,12,0,62.9,78.6,,0,3.6,46,47,,-15.7
2024,1051,Kansas,4,0,78.6,69.4,,0,29.9,16,14,,9.2
2024,1030,Samford,13,0,58.5,77.7,,0,2.8,50,51,,-19.2
2024,1028,South Carolina,6,0,63.5,69.4,,0,7.4,35,24,,-5.9
2024,1034,Oregon,11,0,60.9,70,,0,5.9,42,42,,-9.1
2024,1066,Creighton,3,0,81.6,65.1,,0,54.7,7,10,,16.5
2024,1079,Akron,14,0,54.3,79.8,,0,2,54,54,,-25.5
2024,1023,Texas,7,0,73.4,72.9,,0,13,23,27,,0.5
2024,1017,Virginia,10,0,66,76.1,,0,6.4,39,40,,-10.1
2024,1024,Tennessee,2,0,85.4,65.8,,0,74.3,5,5,,19.6
2024,1031,Saint Peter's,15,0,49.9,84.2,,0,0.9,62,60,,-34.3
2023,1011,Alabama,1,16,85.2,63.8,1.51,2,74.7,4,1,0.144,21.4
2023,1010,Arizona,2,64,80.9,65.3,0.65,0,57.5,7,7,-0.247,15.6
2023,1009,Arizona St.,11,64,60.2,75.2,-0.27,0,4.3,48,45,-0.714,-15
2023,1008,Arkansas,8,16,78.1,75.6,-0.6,2,23.1,19,30,2.032,2.5
2023,1007,Auburn,9,32,71.9,72.7,0.54,1,13.8,26,35,1.469,-0.8
2023,1006,Baylor,3,32,78.8,66.8,0.22,1,44.5,11,9,0.337,12
2023,1005,Boise St.,10,64,65.7,70.2,0.95,0,8.7,36,37,0.225,-4.5
2023,1004,Colgate,15,64,54.9,79.2,0.85,0,2.3,55,60,0.974,-24.3
2023,1003,College of Charleston,12,64,60.9,71.1,1.29,0,6.4,41,47,0.596,-10.2
2023,1002,Connecticut,4,1,83.3,68.8,-0.46,6,58.3,6,13,1.068,14.5
2023,1001,Creighton,6,8,77.4,69.5,0.47,3,35.3,13,22,1.858,7.9
2023,1000,Drake,12,64,60.4,69.8,1.7,0,6.8,40,49,0.777,-9.4
2023,999,Duke,5,32,79.5,69.7,0.16,1,37,12,18,1.021,9.8
2023,998,Fairleigh Dickinson,16,32,43.5,79.4,1.82,1,0.8,62,68,-0.055,-35.9
2023,997,Florida Atlantic,9,4,69.7,72.6,0.57,4,13,29,33,1.269,-2.9
2023,996,Furman,13,32,57.4,70.9,1.47,1,5,43,53,1.02,-13.5
2023,995,Gonzaga,3,8,83.9,66.3,0.51,3,62.9,5,10,1.418,17.6
2023,994,Grand Canyon,14,64,55.6,82.3,-1.13,0,1.7,59,57,-0.773,-26.7
2023,993,Houston,1,16,89.5,63.7,1.58,2,116,1,2,2.107,25.8
2023,992,Howard,16,64,47.9,81.6,1.26,0,1,61,64,0.677,-33.7
2023,991,Illinois,9,64,72.1,79,-1.38,0,9.1,35,36,0.296,-6.9
2023,990,Indiana,4,32,76.5,67.1,0.58,1,33.9,16,15,-0.182,9.4
2023,989,Iona,13,64,61.8,80.7,-0.83,0,3.2,53,52,-0.093,-18.9
2023,988,Iowa,8,64,66.3,77.2,-1.18,0,5.5,42,32,-0.901,-10.9
2023,987,Iowa St.,6,64,68.3,65.7,1.63,0,14.9,24,21,-0.337,2.6
2023,986,Kansas,1,32,81.7,68.6,-1.85,1,35.2,14,3,-1.734,13.1
2023,985,Kansas St.,3,8,72.1,65.2,1.14,3,26.6,18,11,-0.715,6.9
2023,984,Kennesaw St.,14,64,51.8,73.4,1.28,0,2.6,54,55,-0.117,-21.6
2023,983,Kent St.,13,64,60.5,74.6,0.6,0,4.9,46,51,0.958,-14.1
2023,982,Kentucky,6,32,77.4,67.6,1.05,1,45.4,10,23,2.945,9.8
2023,981,Louisiana Lafayette,13,64,56.9,81.5,-1.01,0,1.8,58,54,-0.958,-24.6
2023,980,Marquette,2,32,72.8,64.4,1.22,1,26.9,17,8,-1.53,8.4
2023,979,Maryland,8,32,67.6,73.1,0.31,1,10,32,31,-0.151,-5.5
2023,978,Memphis,8,64,69.6,73.3,0.24,0,10.1,31,29,-0.135,-3.7
2023,977,Miami FL,5,4,66.5,68.9,0.55,4,9.7,33,20,-1.027,-2.4
2023,976,Michigan St.,7,16,64.3,68.3,1.25,2,10.8,30,26,-0.324,-4
2023,974,Missouri,7,32,60.8,72.5,-0.12,1,4.7,47,27,-1.231,-11.7
2023,973,Montana St.,14,64,53.2,72.1,1.64,0,3.2,52,58,0.321,-18.9
