Score_Rank,University,Country,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking
1,University of Oxford,United Kingdom,20664,11.2,41%,46%,54%,90.5,99.6,98.4,65.5,96.4,95.4,95.40
2,California Institute of Technology,United States,2240,6.4,30%,34%,66%,92.1,97.2,97.9,88.0,82.5,94.5,94.50
3,University of Cambridge,United Kingdom,18978,10.9,37%,47%,53%,91.4,98.7,95.8,59.3,95.0,94.4,94.40
4,Stanford University,United States,16135,7.3,23%,43%,57%,92.8,96.4,99.9,66.2,79.5,94.3,94.30
5,Massachusetts Institute of Technology,United States,11247,8.6,34%,39%,61%,90.5,92.4,99.5,86.9,89.0,93.6,93.60
6,Princeton University,United States,7983,8.1,25%,45%,55%,90.3,96.3,98.8,58.6,81.1,93.2,93.20
7,Harvard University,United States,20823,9.2,24%,49%,51%,89.2,98.6,99.1,47.3,76.3,93.0,93.00
8,Yale University,United States,12402,5.4,20%,50%,50%,92.0,94.8,97.3,52.4,68.7,91.7,91.70
9,University of Chicago,United States,13833,5.7,28%,46%,54%,89.1,91.4,96.7,52.7,76.0,90.2,90.20
10,Imperial College London,United Kingdom,16760,11.7,56%,38%,62%,84.5,87.6,97.0,69.9,97.1,89.8,89.80
11,University of Pennsylvania,United States,20578,6.5,21%,52%,48%,87.5,90.4,98.2,74.0,65.0,89.6,89.60
12,Johns Hopkins University,United States,16171,4.5,26%,52%,48%,81.7,91.4,98.3,91.3,73.2,89.2,89.20
13,"University of California, Berkeley",United States,41081,13.7,17%,50%,50%,83.0,90.6,99.2,46.1,70.4,88.3,88.30
13,ETH Zurich,Switzerland,18956,12.5,39%,32%,68%,81.8,92.8,90.3,56.8,98.2,88.3,88.30
14,UCL,United Kingdom,32665,10.6,52%,57%,43%,77.8,88.7,96.1,42.7,96.2,87.1,87.10
15,Columbia University,United States,26586,5.8,37%,0%,0%,85.6,82.6,98.2,44.8,79.3,87.0,87.00
